order_id,customer_name,invoice_paise,created_at,status
ORD00168,Meera Chopra,321782,2026-02-09,paid
ORD00169,Arjun Bhat,718636,2026-02-09,paid
ORD00170,Rahul Menon,865451,2026-02-09,paid
ORD00171,Saanvi Reddy,798206,2026-02-02,paid
ORD00172,Aditya Gupta,334913,2026-02-02,paid
ORD00173,Rohan Patel,616390,2026-02-02,paid
ORD00174,Meera Bose,208157,2026-02-02,paid
ORD00175,Vihaan Desai,1991872,2026-02-02,paid
ORD00176,Sneha Menon,396954,2026-02-02,paid
ORD00177,Diya Reddy,485970,2026-02-02,paid
ORD00178,Karan Bhat,490552,2026-02-02,paid
ORD00179,Aarav Chopra,662451,2026-02-02,paid
ORD00180,Manav Bose,852784,2026-02-02,paid
ORD00181,Aarav Gupta,550149,2026-02-02,paid
ORD00182,Karan Chopra,363118,2026-02-02,paid
ORD00183,Sneha Desai,489375,2026-02-02,paid
ORD00184,Pooja Sharma,507007,2026-01-19,paid
ORD00185,Aditya Khanna,457746,2026-01-19,paid
ORD00186,Karan Desai,762131,2026-01-19,paid
ORD00187,Vikram Patel,223061,2026-01-19,paid
ORD00188,Sneha Sharma,702483,2026-01-19,paid
ORD00189,Manav Rao,463160,2026-01-19,paid
ORD00190,Aarav Iyer,745205,2026-01-19,paid
ORD00191,Ishita Sharma,322793,2026-01-29,unpaid
ORD00192,Aditya Reddy,526786,2026-01-26,unpaid
ORD00193,Aditya Bhat,447542,2026-01-22,unpaid
